20,1000,50,32,0.001,-18.1437022351
20,1000,50,32,1e-05,-1915.29241236
20,1000,50,32,0.0001,-16.4913101256
20,1000,30,32,0.0001,-15.3283397169
20,1000,30,16,0.0001,-20.473487494
20,1000,30,64,0.0001,-681.829108548
20,1000,30,64,0.01,-18.7032099959
20,1000,30,128,0.001,-14.2804637422
20,1000,30,128,0.0001,-12600.4977817
20,1000,30,128,0.001,-13.3727948428
20,1000,30,128,0.001,-17.8762176207
20,1000,30,128,0.001,-19.5374222314
20,1000,30,128,0.001,-10.0828692642
20,1000,30,128,0.001,-14.490582533
20,1000,30,128,0.001,-13.8883327957
20,1000,30,128,0.001,-20.4722702912
20,1000,30,128,0.001,-18.6303674938
20,1000,30,128,0.001,-18.3573937342
20,1000,30,128,0.001,-17.6562813608
20,1000,30,128,0.001,-17.5917410811
20,1000,30,128,0.001,-18.2315901437
20,1000,30,128,0.001,-16.3182682124
20,1000,30,128,0.001,-14.6883666881
